7;Россия, г. Москва, ул. Ленинградская, д. 8;Бизнес-центр
8;Россия, г. Москва, ул. Ленинградская, д. 12;Офис
9;Россия, г. Москва, ул. Профсоюзная, д. 30;Магазин
10;Россия, г. Москва, ул. Профсоюзная, д. 44;Аптека
11;Россия, г. Москва, ул. Новослободская, д. 16;Клиника
12;Россия, г. Москва, ул. Новослободская, д. 22;Офис
13;Россия, г. Москва, ул. Бауманская, д. 7;Учебный корпус
14;Россия, г. Москва, ул. Бауманская, д. 11;Общежитие
15;Россия, г. Москва, ул. Садовая, д. 3;Гостиница
16;Россия, г. Москва, ул. Садовая, д. 9;Ресторан
17;Россия, г. Москва, ул. Кутузовский пр-т, д. 25;Офис
18;Россия, г. Москва, ул. Кутузовский пр-т, д. 31;Автосалон
19;Россия, г. Москва, ул. Варшавское шоссе, д. 50;Склад
20;Россия, г. Москва, ул. Варшавское шоссе, д. 64;Производство
21;Россия, г. Москва, ул. Дмитровское шоссе, д. 18;Магазин
22;Россия, г. Москва, ул. Дмитровское шоссе, д. 27;Торговый центр
23;Россия, г. Москва, ул. Ярославская, д. 14;Офис
24;Россия, г. Москва, ул. Ярославская, д. 19;Коворкинг
25;Россия, г. Москва, ул. Академика Королёва, д. 5;Телецентр
26;Россия, г. Москва, ул. Академика Королёва, д. 12;Офис
27;Россия, г. Москва, ул. Нагатинская, д. 4;Склад
28;Россия, г. Москва, ул. Нагатинская, д. 9;Производство
29;Россия, г. Москва, ул. Шаболовка, д. 23;Музей
30;Россия, г. Москва, ул. Шаболовка, д. 31;Офис