493993656;ВендПро;г. Санкт-Петербург, пр. Невский, д. 40;www.vendpro.com;Дмитрий;Дмитриев;ДмитриевичЗаключен договор
274151701;АвтоСнэк Групп;г. Новосибирск, ул. Красный проспект, д. 78;www.autosnakgroup.ru;Марк;Марков;МарковичЗаключен договор
287402921;SnackTime LLC;г. Екатеринбург, ул. Малышева, д. 32;www.foodpoint.ru;Валенитина;Валенитинова;ВаленитиновнаЗаключен договор
324343452;Snack&Go;г. Самара, ул. Галактионовская, д. 5;www.snackandgo.ru;Илья;Ильин;ИльичЗаблокировано
919743729;Фитнес-Центр "Энергия";г. Екатеринбург, ул. Ленина, д. 67а;www.fitenergia.ru;Павел;Павлов;ПавловичЗаключен договор
601335344;FoodPoint;г. Казань, ул. Кремлёвская, д. 10;www.foodpoint.ru;Евгений;Евгеньев;ЕвгеньевичЗаключен договор
482910537;QuickVend;г. Нижний Новгород, ул. Большая Покровская, д. 21;www.quickvend.com;Денис;Денисов;ДенисовичЗаключен договор
105837264;Вендинг Сервис;г. Ростов-на-Дону, ул. Станиславского, д. 7;www.vendingservice.ru;Валерия;Валерьева;ВалерьевнаЗаключен договор
928374651;ТехноСнэк;г. Уфа, ул. Пушкина, д. 14;www.tehnosnak.ru;Александра;Александрова;АлександровнаЗаключен договор
501928374;VendMaster;г. Омск, ул. Лермонтова, д. 28;www.vendmaster.ru;Генадий;Генадьев;ГенадьевичЗаключен договор
482910547;ВендСити;г. Москва, ул. Тверская, д. 20;www.vendcity.ru;Борис;Борисов;БорисовичЗаключен договор
158462316;КофеГо;г. Краснодар, ул. Красная, д. 154;www.coffeego.ru;Валентина;Валентинова;ВалентиновнаЗаблокировано